Nume,Echipă,Post,M.V. (EUR),Vârstă,Țara campionatului,Competiție,Profil Transfermarkt,Lista sursă
Daniel Costel Boca,Uppsveitir,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/daniel-costel-boca/profil/spieler/883497,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Daniel Fasui,FC Jeunesse Junglinster,Mijlocaș defensiv,,36,Luxembourg,,https://www.transfermarkt.com/daniel-fasui/profil/spieler/203730,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/99
Daniel Gîdea,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/daniel-gidea/profil/spieler/887338,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Daniel Mitrofan,FC Porto Brussels,Fundaș central,,29,Belgia,,https://www.transfermarkt.com/daniel-mitrofan/profil/spieler/409744,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/19
Daniel Moldovan,Rayo Vallecano Youth,Mijlocaș,,16,Spania,,https://www.transfermarkt.com/daniel-moldovan/profil/spieler/1317221,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Daniel Munteanu,ASD Montefiascone Calcio 1960,Mijlocaș defensiv,,23,Italia,,https://www.transfermarkt.com/daniel-munteanu/profil/spieler/1062982,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Daniel Olaru,Gullfálkinn,Mijlocaș,,,Islanda,,https://www.transfermarkt.com/daniel-olaru/profil/spieler/887343,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/73
Daniel Papuc,Real Zaragoza Youth,Atacant central,,17,Spania,,https://www.transfermarkt.com/daniel-papuc/profil/spieler/1317216,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Daniel Serban,SG Neukirchen,Atacant,,26,Germania,,https://www.transfermarkt.com/daniel-serban/profil/spieler/1041764,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Daniel Socaci,FC Perlen-Buchrain,Portar,,33,Elveția,,https://www.transfermarkt.com/daniel-socaci/profil/spieler/1154818,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/148
Daniel Tarchila,SV Grafenwöhr,Atacant,,24,Germania,,https://www.transfermarkt.com/daniel-tarchila/profil/spieler/1357781,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Daniel Toma,SV Weidenbach,Extremă dreapta,,35,Germania,,https://www.transfermarkt.com/daniel-toma/profil/spieler/679117,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/7
Daniel Ungur,SV Hebertsfelden,Atacant central,,35,Germania,,https://www.transfermarkt.com/daniel-ungur/profil/spieler/285909,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Daniel Voicilă,Rayo Vallecano U19,Fundaș,,18,Spania,,https://www.transfermarkt.com/daniel-voicila/profil/spieler/1124760,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Daniel-Constantin Rusu,TSC Euskirchen 1848/1913,Fundaș,,33,Germania,,https://www.transfermarkt.com/daniel-constantin-rusu/profil/spieler/1382912,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Daniele Paul,Roma U20,Fundaș central,,17,Italia,Primavera 1,https://www.transfermarkt.com/daniele-paul/profil/spieler/1334720,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Dario-Nicolae Dudar,Schwarz-Weiß Spandau,Mijlocaș,,19,Germania,,https://www.transfermarkt.com/dario-nicolae-dudar/profil/spieler/1590432,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/17
Darius Achitei,SK Rapid Wien II,Portar,,18,Austria,2. Liga,https://www.transfermarkt.com/darius-achitei/profil/spieler/1428905,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Darius Calu,SSD Ponte Buggianese,Portar,,22,Italia,,https://www.transfermarkt.com/darius-calu/profil/spieler/938761,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Darius Ciocan,SpVgg Osterhofen,Mijlocaș,,30,Germania,,https://www.transfermarkt.com/darius-ciocan/profil/spieler/1029768,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/10
Darius Groza,Bologna Under 18,Atacant central,,18,Italia,Campionato Under 18,https://www.transfermarkt.com/darius-groza/profil/spieler/1196498,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Darius Neagu,Grimsby Town U18,Mijlocaș central,,16,Anglia,,https://www.transfermarkt.com/darius-neagu/profil/spieler/1317223,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
Darius Țieranu,Sport-Union Neckarsulm,Fundaș central,,26,Germania,,https://www.transfermarkt.com/darius-tieranu/profil/spieler/418214,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
Darius Uibariu,TuS Lemförde,Mijlocaș ofensiv,,34,Germania,,https://www.transfermarkt.com/darius-uibariu/profil/spieler/586816,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Darius-Gabriel Sălăgean-Tamaș,FSV Preußen Bad Langensalza II,Atacant,,26,Germania,,https://www.transfermarkt.com/darius-gabriel-salagean-tamas/profil/spieler/1065549,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
David Amarandei,Sampdoria Primavera,Mijlocaș ofensiv,,15,Italia,Primavera 2 - A,https://www.transfermarkt.com/david-amarandei/profil/spieler/1503785,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/6
David Anugo,Leicester City U18,Extremă stânga,,17,Anglia,U18 Premier League,https://www.transfermarkt.com/david-anugo/profil/spieler/1196493,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/189
David Băloi,ASV Durlach,Fundaș dreapta,,20,Germania,,https://www.transfermarkt.com/david-baloi/profil/spieler/1045849,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
David Bodarev,TuS Neuhausen,Mijlocaș,,19,Germania,,https://www.transfermarkt.com/david-bodarev/profil/spieler/1582922,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
David Bozian,IF Brommapojkarna Jugend,Mijlocaș,,17,Suedia,,https://www.transfermarkt.com/david-bozian/profil/spieler/1395512,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/147
David Molnar,Eintracht Bad Kreuznach,Mijlocaș central,,22,Germania,Verbandsliga Südwest,https://www.transfermarkt.com/david-molnar/profil/spieler/1015477,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/3
David Oltean,Montpellier HSC U19,Atacant central,,16,Franța,Championnat National U19 - Groupe D,https://www.transfermarkt.com/david-oltean/profil/spieler/1406567,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/50
David Pitigoi,SSV Naturns,Mijlocaș,,24,Italia,,https://www.transfermarkt.com/david-pitigoi/profil/spieler/1109105,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
David Popescu,Trestina Giovanili,Mijlocaș,,16,Italia,,https://www.transfermarkt.com/david-popescu/profil/spieler/1573522,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/7
David Sau,Desportivo de Ronfe,Fundaș dreapta,,32,Portugalia,,https://www.transfermarkt.com/david-sau/profil/spieler/707115,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/136
David Stroe,Real Zaragoza Youth,Fundaș dreapta,,15,Spania,,https://www.transfermarkt.com/david-stroe/profil/spieler/1538293,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
David-Alexandru Tudor,VfL Biedenkopf,Mijlocaș,,,Germania,,https://www.transfermarkt.com/david-alexandru-tudor/profil/spieler/1570831,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/16
David-Ovidiu Rus,SG Franzenheim,Fundaș,,35,Germania,,https://www.transfermarkt.com/david-ovidiu-rus/profil/spieler/1433812,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Davide Moisa,Hellas Verona Primavera,Fundaș central,,18,Italia,Primavera 1,https://www.transfermarkt.com/davide-moisa/profil/spieler/1132538,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Denis Andrei Corceovei,CDA Navalcarnero B,Atacant,,,Spania,,https://www.transfermarkt.com/denis-andrei-corceovei/profil/spieler/1473005,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
Denis Călinoiu,Wacker Trailsdorf,Mijlocaș,,27,Germania,,https://www.transfermarkt.com/denis-calinoiu/profil/spieler/530860,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/5
Denis Miu,Hannover 96 U19,Mijlocaș central,,18,Germania,U19 DFB-Nachwuchsliga - Vorrunde Gruppe I,https://www.transfermarkt.com/denis-miu/profil/spieler/1060699,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Denis Mocan,GD Águias Moradal,Fundaș central,,21,Portugalia,,https://www.transfermarkt.com/denis-mocan/profil/spieler/1465465,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/136
Denis Munteanu,Venezia Primavera,Atacant central,,17,Italia,Primavera 2 - A,https://www.transfermarkt.com/denis-munteanu/profil/spieler/1261055,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Denis Patrick Aevoaei,Venezia Primavera,Mijlocaș defensiv,,17,Italia,Primavera 2 - A,https://www.transfermarkt.com/denis-patrick-aevoaei/profil/spieler/1346010,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Denis Păunescu,Sterparo,Mijlocaș ofensiv,,22,Italia,,https://www.transfermarkt.com/denis-paunescu/profil/spieler/608489,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Denis Ticuleanu,FC Marsaskala U19,Mijlocaș,,21,Malta,,https://www.transfermarkt.com/denis-ticuleanu/profil/spieler/1281946,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/106
Denis Vintilă,AC Dolomiti Bellunesi Juniores,Mijlocaș dreapta,,19,Italia,,https://www.transfermarkt.com/denis-vintila/profil/spieler/1344774,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Denis-Alessandro Cojocariu,SV Rot-Weiss Wittlich II,Portar,,18,Germania,,https://www.transfermarkt.com/denis-alessandro-cojocariu/profil/spieler/1423824,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Denis-Andreas Cojocaru,TSG Tübingen,Portar,,,Germania,,https://www.transfermarkt.com/denis-andreas-cojocaru/profil/spieler/1156586,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Denis-Florian Hegheduș,SV Treschklingen,Atacant,,23,Germania,,https://www.transfermarkt.com/denis-florian-heghedus/profil/spieler/1062448,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/11
Dennis Marcel Rafaila,FV Bad Schussenried,Mijlocaș,,,Germania,,https://www.transfermarkt.com/dennis-marcel-rafaila/profil/spieler/803143,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Dennys Budean,ASV Draßburg/Mattersburg II,Mijlocaș,,18,Austria,,https://www.transfermarkt.com/dennys-budean/profil/spieler/1297342,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/3
Derian Stancu,SV Waldzell,Portar,,35,Austria,,https://www.transfermarkt.com/derian-stancu/profil/spieler/288011,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127
Diego Enache,SVN Zweibrücken,Mijlocaș,,31,Germania,,https://www.transfermarkt.com/diego-enache/profil/spieler/230487,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/4
Dorian Cocotă,Mantova Primavera,Fundaș central,,18,Italia,Primavera 2 - A,https://www.transfermarkt.com/dorian-cocota/profil/spieler/1310250,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/5
Doru-Octavian Istrate,FC Rastatt 04,Mijlocaș,,,Germania,,https://www.transfermarkt.com/doru-octavian-istrate/profil/spieler/741747,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/8
Dragos Alin Popa,SV Westring Gotha,Portar,,32,Germania,,https://www.transfermarkt.com/dragos-alin-popa/profil/spieler/1304842,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/14
Dragos Vulpescu,SG Hohenberg/St. Aegyd,Portar,,41,Austria,,https://www.transfermarkt.com/dragos-vulpescu/profil/spieler/1512710,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/127/page/4
Dragoș Azoiței,A.S.D. Roccasecca T.san Tommaso,Mijlocaș,,23,Italia,,https://www.transfermarkt.com/dragos-azoitei/profil/spieler/878955,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Dragoș Iacob,US Arce 1932,Atacant central,,30,Italia,,https://www.transfermarkt.com/dragos-iacob/profil/spieler/340655,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/2
Dragoș Ioance,Calvairate,Fundaș central,,33,Italia,,https://www.transfermarkt.com/dragos-ioance/profil/spieler/434593,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/3
Dragoș Kirali,Hellas Verona Primavera,Fundaș central,,17,Italia,Primavera 1,https://www.transfermarkt.com/dragos-kirali/profil/spieler/1179021,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/75/page/4
Dumitru Farcaș,VfL Wanfried,Fundaș stânga,,21,Germania,,https://www.transfermarkt.com/dumitru-farcas/profil/spieler/911106,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/9
Dumitru Gologan,Hellas United,Portar,,23,Germania,,https://www.transfermarkt.com/dumitru-gologan/profil/spieler/1438914,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Dumitru Guțu,SV Roland Millich,Atacant,,26,Germania,,https://www.transfermarkt.com/dumitru-gutu/profil/spieler/1199598,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Dumitru Muntean,FV Ravensburg II,Fundaș stânga,,36,Germania,,https://www.transfermarkt.com/dumitru-muntean/profil/spieler/212823,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/2
Dumitru Răileanu,SF Bachem-Rimlingen,Mijlocaș,,35,Germania,,https://www.transfermarkt.com/dumitru-raileanu/profil/spieler/626455,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/6
Dumitru-Florin Ștefan,FC Bad Bellingen,Fundaș,,,Germania,,https://www.transfermarkt.com/dumitru-florin-stefan/profil/spieler/1441761,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/15
Dumitru-Gabriel Tudorache,Hellas United,Mijlocaș,,,Germania,,https://www.transfermarkt.com/dumitru-gabriel-tudorache/profil/spieler/1290274,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Dustin Pfefferkorn,SV Weingarten II,Mijlocaș,,24,Germania,,https://www.transfermarkt.com/dustin-pfefferkorn/profil/spieler/1211415,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Edu Corlat,Real Madrid U18,Fundaș central,,17,Spania,,https://www.transfermarkt.com/edu-corlat/profil/spieler/1000145,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/2
Eduard Călin,AD Torrejón CF,Mijlocaș central,,29,Spania,,https://www.transfermarkt.com/eduard-calin/profil/spieler/428591,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157
Eduard Cotor,TuS Bersenbrück,Fundaș central,,19,Germania,Oberliga Niedersachsen,https://www.transfermarkt.com/eduard-cotor/profil/spieler/1184700,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/12
Eduard Olariu,SpVgg Osterhofen,Mijlocaș,,28,Germania,,https://www.transfermarkt.com/eduard-olariu/profil/spieler/1294521,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/40/page/13
Eduard Popa,Real Zaragoza Youth,Atacant central,,15,Spania,,https://www.transfermarkt.com/eduard-popa/profil/spieler/1538299,https://www.transfermarkt.com/spieler-statistik/legionaere/statistik/stat/land_id/140/land/157/page/3
